type,country,rating,listed_in,Value
TV Show,United States,TV-Y,Kids' TV,1
TV Show,Australia,TV-MA,Reality TV,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,Mexico,TV-Y7,Kids' TV,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United Kingdom,TV-MA,Stand-Up Comedy,1
Movie,Italy,TV-MA,Stand-Up Comedy,1
Movie,Mexico,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,France,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Comedies,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,TV-MA,Dramas,1
Movie,Mexico,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-PG,Dramas,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,Mexico,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,Germany,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,Austria,TV-14,Documentaries,1
Movie,United Kingdom,TV-PG,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Comedies,1
Movie,United States,TV-MA,Music & Musicals,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,New Zealand,TV-MA,Dramas,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,84 min,Movies,1
Movie,United Kingdom,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United Kingdom,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,United Kingdom,TV-14,Documentaries,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,66 min,Movies,1
Movie,United Kingdom,TV-14,Documentaries,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,TV-PG,Stand-Up Comedy,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United Kingdom,TV-MA,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United Kingdom,TV-14,Documentaries,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,United States,TV-MA,Documentaries,1
Movie,Canada,R,Action & Adventure,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,Mexico,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,Canada,TV-Y,Kids' TV,1
Movie,United Kingdom,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-MA,TV Comedies,1
TV Show,United States,TV-14,Docuseries,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,Mexico,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Movies,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-MA,TV Comedies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-14,Stand-Up Comedy,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,United States,TV-MA,TV Comedies,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
TV Show,France,TV-Y,Kids' TV,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-MA,Movies,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-MA,Stand-Up Comedy,1
Movie,United States,PG,Documentaries,1
Movie,United States,TV-14,Dramas,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,TV-14,Dramas,1
Movie,United States,TV-14,Dramas,1
Movie,United States,TV-PG,Dramas,1
Movie,United States,TV-PG,Dramas,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,TV-14,Dramas,1
Movie,United States,TV-MA,Horror Movies,1
Movie,United States,PG-13,Dramas,1
Movie,United States,R,Dramas,1
Movie,United Kingdom,TV-PG,Sports Movies,1
Movie,United States,NR,Documentaries,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,PG-13,Comedies,1
Movie,United Kingdom,TV-14,Sci-Fi & Fantasy,1
Movie,United States,R,Comedies,1
Movie,United Kingdom,TV-MA,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
TV Show,India,TV-14,TV Shows,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,R,Thrillers,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,PG-13,Documentaries,1
Movie,Canada,NR,Stand-Up Comedy,1
Movie,United States,PG-13,Comedies,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,PG,Children & Family Movies,1
TV Show,United States,TV-14,TV Dramas,1
Movie,Canada,TV-MA,Horror Movies,1
Movie,United States,R,Action & Adventure,1
Movie,Canada,R,Action & Adventure,1
TV Show,United States,TV-14,TV Comedies,1
Movie,United States,NR,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United Kingdom,TV-MA,Dramas,1
Movie,United States,R,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,R,Horror Movies,1
Movie,United Kingdom,R,Action & Adventure,1
Movie,United States,TV-G,Children & Family Movies,1
TV Show,United Kingdom,TV-Y,Kids' TV,1
Movie,United States,TV-G,Documentaries,1
TV Show,United States,TV-14,Docuseries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,R,Action & Adventure,1
Movie,United States,R,Dramas,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
TV Show,United States,TV-PG,Docuseries,1
Movie,United States,TV-14,Documentaries,1
Movie,Canada,TV-MA,Thrillers,1
Movie,United States,R,Dramas,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,PG-13,Comedies,1
Movie,United States,TV-PG,Children & Family Movies,1
TV Show,United States,TV-PG,Docuseries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,NR,Documentaries,1
Movie,United Kingdom,TV-PG,Documentaries,1
Movie,United States,TV-14,Dramas,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
Movie,United States,TV-Y,Children & Family Movies,1
TV Show,Italy,TV-Y,Kids' TV,1
TV Show,Russia,TV-Y,Kids' TV,1
TV Show,Canada,TV-PG,Docuseries,1
Movie,United States,PG-13,Comedies,1
Movie,United States,PG,Documentaries,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,United States,TV-G,Children & Family Movies,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-MA,Comedies,1
Movie,United States,PG-13,Comedies,1
Movie,United States,R,Action & Adventure,1
Movie,Denmark,TV-MA,Documentaries,1
Movie,United States,NR,Stand-Up Comedy,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,TV-MA,Action & Adventure,1
Movie,United States,PG-13,Documentaries,1
Movie,United States,PG-13,Thrillers,1
Movie,United States,R,Dramas,1
Movie,United States,R,Comedies,1
Movie,Canada,TV-MA,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,Canada,TV-G,Children & Family Movies,1
Movie,United States,TV-14,Documentaries,1
TV Show,Australia,TV-PG,Reality TV,1
Movie,Brazil,PG,Children & Family Movies,1
TV Show,United States,TV-PG,Reality TV,1
Movie,United States,PG-13,Comedies,1
TV Show,United States,TV-14,TV Comedies,1
Movie,United States,TV-MA,Documentaries,1
TV Show,Canada,TV-MA,Docuseries,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,PG-13,Dramas,1
Movie,United States,PG,Dramas,1
Movie,India,TV-Y7,Children & Family Movies,1
TV Show,United States,TV-MA,Docuseries,1
TV Show,Malaysia,TV-Y7,Kids' TV,1
Movie,United States,TV-PG,Dramas,1
Movie,United States,TV-MA,Comedies,1
Movie,United States,TV-PG,Documentaries,1
TV Show,United States,TV-MA,Reality TV,1
Movie,United States,PG,Children & Family Movies,1
Movie,United States,R,Horror Movies,1
Movie,United States,R,Documentaries,1
Movie,United States,PG,Dramas,1
Movie,United States,PG-13,Action & Adventure,1
Movie,United States,R,Documentaries,1
Movie,United Kingdom,TV-MA,Comedies,1
Movie,United States,R,Comedies,1
Movie,United States,R,Horror Movies,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,R,Action & Adventure,1
Movie,United States,R,Stand-Up Comedy,1
Movie,United States,TV-14,Thrillers,1
TV Show,India,TV-PG,International TV Shows,1
Movie,United Kingdom,TV-PG,Documentaries,1
TV Show,United States,TV-MA,Stand-Up Comedy & Talk Shows,1
Movie,United States,PG-13,Comedies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-14,Thrillers,1
Movie,United States,TV-PG,Children & Family Movies,1
Movie,United States,PG-13,Comedies,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-G,Documentaries,1
Movie,United States,TV-PG,Dramas,1
Movie,United States,PG-13,Comedies,1
Movie,United Kingdom,TV-14,Documentaries,1
TV Show,Brazil,TV-Y,Kids' TV,1
Movie,United States,PG,Dramas,1
Movie,United States,TV-MA,Stand-Up Comedy,1
